customer_id,age,gender,education,income,purchase_amount,purchase_date,product_category,rating,discount_percent,shipping_cost,total_cost,discount_amount,final_price,price_per_rating,income_purchase_ratio,age_squared,spending_power_index,education_encoded,gender_Female,gender_Male,gender_Other,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Food,product_category_Home,age_group,income_bracket,purchase_category,rating_category,discount_tier,price_quartile,spending_ratio_bin,purchase_date_year,purchase_date_month,purchase_date_month_name,purchase_date_day,purchase_date_day_of_week,purchase_date_day_name,purchase_date_quarter,purchase_date_week_of_year,purchase_date_is_weekend,purchase_date_is_month_start,purchase_date_is_month_end,purchase_date_days_since_epoch,purchase_date_season,purchase_date_days_from_today,purchase_date_is_recent,income_anomaly_zscore,income_anomaly_iqr,income_is_anomaly,purchase_amount_anomaly_zscore,purchase_amount_anomaly_iqr,purchase_amount_is_anomaly,final_price_anomaly_zscore,final_price_anomaly_iqr,final_price_is_anomaly,age_anomaly_zscore,age_anomaly_iqr,age_is_anomaly,rating_anomaly_zscore,rating_anomaly_iqr,rating_is_anomaly,discount_percent_anomaly_zscore,discount_percent_anomaly_iqr,discount_percent_is_anomaly,shipping_cost_anomaly_zscore,shipping_cost_anomaly_iqr,shipping_cost_is_anomaly,total_cost_anomaly_zscore,total_cost_anomaly_iqr,total_cost_is_anomaly,discount_amount_anomaly_zscore,discount_amount_anomaly_iqr,discount_amount_is_anomaly,price_per_rating_anomaly_zscore,price_per_rating_anomaly_iqr,price_per_rating_is_anomaly,anomaly_score,has_any_anomaly
1,56,Other,Master,75114,1768.35,2025-06-03 15:09:28.484885,Clothing,2.5,11.64,39.51,1807.86,205.84,1602.02,640.81,2.35,3136,1.34,2,False,False,True,False,True,False,False,False,51-65,Upper-Middle,High,Fair,Low Discount,Q2,"(-0.0139, 4.784]",2025,6,June,3,1,Tuesday,2,23,0,0,0,20242,Summer,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,69,Male,High School,147810,4208.82,2025-07-19 15:09:28.484902,Books,2.4,7.84,10.89,4219.71,329.97,3889.74,1620.72,2.85,4761,2.14,0,False,True,False,True,False,False,False,False,65+,High,Very High,Fair,No Discount,Q4,"(-0.0139, 4.784]",2025,7,July,19,5,Saturday,3,29,1,0,0,20288,Summer,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,Female,Bachelor,58067,2361.72,2025-06-07 15:09:28.484908,Food,2.4,34.17,33.85,2395.5699999999997,807.0,1588.57,661.9,4.07,2116,1.26,1,True,False,False,False,False,False,True,False,36-50,Middle,Very High,Fair,Medium Discount,Q2,"(-0.0139, 4.784]",2025,6,June,7,5,Saturday,2,23,1,0,0,20246,Summer,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32,Other,High School,62685,4895.73,2025-10-06 15:09:28.484912,Clothing,3.1,29.68,40.16,4935.889999999999,1453.05,3482.84,1123.5,7.81,1024,1.96,0,False,False,True,False,True,False,False,False,26-35,Middle,Very High,Good,Medium Discount,Q4,"(4.784, 9.558]",2025,10,October,6,0,Monday,4,41,0,0,0,20367,Fall,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,60,Male,Master,142262,3174.37,2025-12-19 15:09:28.484915,Home,2.8,37.74,28.09,3202.46,1198.01,2004.45,715.88,2.23,3600,2.37,2,False,True,False,False,False,False,False,True,51-65,High,Very High,Fair,Medium Discount,Q3,"(-0.0139, 4.784]",2025,12,December,19,4,Friday,4,51,0,0,0,20441,Winter,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,Female,Master,38073,640.06,2025-02-20 15:09:28.484918,Electronics,4.5,15.47,37.04,677.0999999999999,99.02,578.08,128.46,1.68,625,1.52,2,True,False,False,False,False,True,False,False,18-25,Lower-Middle,Medium,Excellent,Low Discount,Q1,"(-0.0139, 4.784]",2025,2,February,20,3,Thursday,1,8,0,0,0,20139,Winter,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,78,Other,Master,56035,3384.13,2025-04-14 15:09:28.484921,Food,3.0,22.4,33.09,3417.2200000000003,758.05,2659.17,886.39,6.04,6084,0.72,2,False,False,True,False,False,False,True,False,65+,Middle,Very High,Fair,Low Discount,Q3,"(4.784, 9.558]",2025,4,April,14,0,Monday,2,16,0,0,0,20192,Spring,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38,Other,Bachelor,84977,1632.27,2025-11-22 15:09:28.484924,Clothing,3.0,20.27,17.78,1650.05,330.86,1319.19,439.73,1.92,1444,2.24,1,False,False,True,False,True,False,False,False,36-50,Upper-Middle,High,Fair,Low Discount,Q2,"(-0.0139, 4.784]",2025,11,November,22,5,Saturday,4,47,1,0,0,20414,Fall,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,56,Male,Bachelor,122710,3434.77,2025-03-31 15:09:28.484927,Clothing,1.6,49.2,40.44,3475.21,1689.91,1785.3,1115.81,2.8,3136,2.19,1,False,True,False,False,True,False,False,False,51-65,High,Very High,Poor,High Discount,Q2,"(-0.0139, 4.784]",2025,3,March,31,0,Monday,1,14,0,0,1,20178,Spring,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,Male,PhD,110373,357.51,2025-07-26 15:09:28.484930,Clothing,4.9,14.61,14.74,372.25,52.23,320.02,65.31,0.32,5625,1.47,3,False,True,False,False,True,False,False,False,65+,High,Low,Excellent,Low Discount,Q1,"(-0.0139, 4.784]",2025,7,July,26,5,Saturday,3,30,1,0,0,20295,Summer,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
