customer_id,age,gender,education,income,purchase_amount,purchase_date,product_category,rating,discount_percent,shipping_cost
1,56,Other,Master,75114,1768.35,2025-06-03 15:09:28.484885,Clothing,2.5,11.64,39.51
2,69,Male,High School,147810,4208.82,2025-07-19 15:09:28.484902,Books,2.4,7.84,10.89
3,46,Female,Bachelor,58067,2361.72,2025-06-07 15:09:28.484908,Food,2.4,34.17,33.85
4,32,Other,High School,62685,4895.73,2025-10-06 15:09:28.484912,Clothing,3.1,29.68,40.16
5,60,Male,Master,142262,3174.37,2025-12-19 15:09:28.484915,Home,2.8,37.74,28.09
6,25,Female,Master,38073,640.06,2025-02-20 15:09:28.484918,Electronics,4.5,15.47,37.04
7,78,Other,Master,56035,3384.13,2025-04-14 15:09:28.484921,Food,3.0,22.4,33.09
8,38,Other,Bachelor,84977,1632.27,2025-11-22 15:09:28.484924,Clothing,3.0,20.27,17.78
9,56,Male,Bachelor,122710,3434.77,2025-03-31 15:09:28.484927,Clothing,1.6,49.2,40.44
10,75,Male,PhD,110373,357.51,2025-07-26 15:09:28.484930,Clothing,4.9,14.61,14.74
11,36,Male,Master,408574,9257.615023209384,2025-10-12 15:09:28.484933,Home,2.0,14.74,28.56
12,40,Female,High School,110517,4280.13,2025-04-13 15:09:28.484936,Home,1.3,17.73,37.27
13,28,Male,Bachelor,85450,1143.63,2026-02-15 15:09:28.484939,Home,3.7,28.23,18.95
14,28,Other,Master,30382,4186.84,2025-06-21 15:09:28.484942,Books,3.4,12.62,15.14
15,41,Other,Master,24437,1403.59,2025-10-20 15:09:28.484945,Clothing,2.7,45.76,22.97
16,70,Male,Bachelor,90971,3217.98,2025-11-08 15:09:28.484948,Food,2.7,13.28,40.9
17,53,Male,PhD,84612,3473.81,2026-01-11 15:09:28.484951,Home,4.1,44.79,46.5
18,57,Other,Bachelor,110355,2568.15,2025-03-14 15:09:28.484954,Home,1.8,5.17,27.25
19,41,Female,Bachelor,81929,1533.5,2025-10-08 15:09:28.484957,Clothing,4.3,32.83,33.07
20,20,Male,High School,122411,1071.1,2025-07-31 15:09:28.484960,Home,3.6,45.35,45.16
21,39,Male,High School,117518,175.61,2025-03-07 15:09:28.484963,Books,2.7,8.44,4.93
22,70,Other,PhD,118864,1526.69,2026-01-28 15:09:28.484965,Books,2.8,48.42,11.6
23,19,Male,Master,231589,9447.859774316259,2025-06-21 15:09:28.484968,Home,2.0,22.64,35.45
24,41,Female,Bachelor,145605,4692.14,2025-11-01 15:09:28.484971,Clothing,4.0,47.29,41.19
25,61,Other,PhD,45169,4357.31,2025-04-21 15:09:28.484974,Clothing,3.1,33.84,42.85
26,47,Male,High School,107468,3832.66,2025-11-26 15:09:28.484977,Clothing,2.3,15.08,20.76
27,55,Other,Bachelor,54594,3944.35,2025-11-27 15:09:28.484980,Electronics,3.4,9.42,4.47
28,19,Male,Master,96957,3328.27,2025-05-03 15:09:28.484982,Home,5.0,15.19,21.89
29,77,Male,High School,80631,1308.83,2025-12-11 15:09:28.484985,Clothing,2.7,4.65,11.54
30,38,Male,High School,212026,10897.482406368123,2025-10-12 15:09:28.484988,Books,4.7,7.19,14.56
31,50,Female,High School,83133,3356.95,2025-08-06 15:09:28.484991,Food,2.4,5.23,38.61
32,29,Female,PhD,93165,2806.6,2025-10-01 15:09:28.484994,Food,1.2,21.15,3.78
33,75,Other,Master,93861,563.84,2025-05-11 15:09:28.484997,Clothing,1.8,39.78,41.38
34,39,Male,Bachelor,72290,2240.81,2025-04-12 15:09:28.485000,Food,2.7,7.07,21.38
35,78,Male,PhD,114031,2307.19,2025-06-29 15:09:28.485003,Food,1.9,6.52,29.8
36,61,Female,PhD,51750,4324.17,2026-01-26 15:09:28.485006,Electronics,1.0,32.17,4.48
37,42,Male,PhD,115155,2737.77,2025-09-18 15:09:28.485008,Books,4.7,9.86,16.87
38,66,Female,High School,60461,1908.2,2025-05-17 15:09:28.485011,Books,4.4,4.88,4.49
39,44,Male,Master,93800,4884.23,2025-12-19 15:09:28.485014,Electronics,4.0,8.34,48.08
40,76,Other,PhD,98222,562.5,2025-04-05 15:09:28.485017,Electronics,1.7,46.19,40.36
41,59,Male,Bachelor,132020,2118.52,2025-12-28 15:09:28.485020,Food,1.5,41.07,22.98
42,45,Male,Master,44226,219.7,2025-03-11 15:09:28.485023,Home,1.3,17.7,11.18
43,77,Female,Bachelor,26721,3702.12,2025-09-18 15:09:28.485026,Food,3.9,32.79,46.67
44,33,Male,Master,76154,4591.2,2025-06-26 15:09:28.485028,Electronics,4.7,26.86,17.23
45,32,Male,Bachelor,40609,1407.39,2025-04-13 15:09:28.485031,Books,2.7,33.86,8.05
46,79,Female,High School,447174,11090.831022158813,2025-04-22 15:09:28.485034,Food,1.5,34.13,28.16
47,79,Other,PhD,92909,1468.17,2026-01-17 15:09:28.485037,Home,3.0,31.44,47.19
48,64,Other,Bachelor,124211,4554.74,2025-12-25 15:09:28.485040,Food,2.4,13.31,0.19
49,79,Female,Master,75249,3772.27,2025-03-03 15:09:28.485043,Clothing,2.5,1.95,11.91
50,68,Female,PhD,68895,4026.48,2026-01-13 15:09:28.485046,Food,3.5,22.78,46.92
51,61,Female,PhD,114473,99.85,2025-10-31 15:09:28.485049,Electronics,3.9,44.55,8.55
52,72,Female,Master,25656,4814.42,2025-08-25 15:09:28.485052,Books,1.4,28.47,5.66
53,69,Female,Bachelor,144865,3636.09,2025-02-21 15:09:28.485055,Books,1.1,41.62,28.51
54,74,Other,High School,94520,1530.71,2025-04-10 15:09:28.485058,Electronics,5.0,49.58,43.09
55,20,Other,High School,83740,4148.68,2025-04-29 15:09:28.485061,Clothing,1.9,8.18,23.86
56,54,Female,Bachelor,84309,1414.79,2025-03-19 15:09:28.485064,Electronics,1.2,34.59,49.73
57,68,Male,PhD,49984,4365.04,2025-11-13 15:09:28.485066,Food,1.8,33.71,33.96
58,24,Female,PhD,138947,571.78,2025-07-20 15:09:28.485069,Electronics,1.2,49.0,3.7
59,38,Male,PhD,93822,3521.39,2025-04-07 15:09:28.485072,Electronics,2.6,49.28,49.64
60,26,Female,PhD,25901,2708.09,2025-10-04 15:09:28.485075,Clothing,4.2,34.33,20.39
61,56,Female,Bachelor,51552,491.71,2026-02-12 15:09:28.485078,Food,2.4,12.18,14.37
62,35,Other,PhD,111245,1217.05,2025-11-01 15:09:28.485081,Home,2.8,39.93,27.89
63,21,Male,Master,51055,71.9,2026-01-14 15:09:28.485083,Home,3.7,5.35,15.22
64,42,Male,PhD,57685,2349.15,2026-01-10 15:09:28.485086,Books,3.0,39.03,4.32
65,77,Other,High School,426094,14697.702694136144,2025-09-21 15:09:28.485089,Electronics,4.4,45.51,0.07
66,31,Other,PhD,34716,2995.8,2025-10-23 15:09:28.485093,Books,4.5,19.14,22.48
67,67,Other,Bachelor,134099,1493.22,2025-06-02 15:09:28.485096,Clothing,1.0,31.53,41.84
68,75,Other,High School,31138,1506.6,2025-11-23 15:09:28.485099,Home,4.1,21.51,28.62
69,26,Male,Bachelor,55298,3718.53,2025-12-04 15:09:28.485102,Electronics,2.8,21.89,49.96
70,43,Male,Bachelor,71112,250.23,2025-04-11 15:09:28.485104,Clothing,5.0,15.52,14.34
71,70,Female,High School,43429,4515.45,2025-07-19 15:09:28.485107,Clothing,2.9,38.11,14.02
72,19,Female,Bachelor,70200,4262.8,2025-05-09 15:09:28.485110,Electronics,4.9,46.81,7.99
73,37,Other,Bachelor,91308,3342.35,2025-06-24 15:09:28.485113,Clothing,4.0,47.04,8.2
74,45,Other,PhD,68244,2970.18,2025-09-06 15:09:28.485116,Electronics,2.0,8.74,14.26
75,64,Other,Master,137217,4462.59,2025-11-23 15:09:28.485119,Electronics,3.2,43.74,39.64
76,77,Female,Bachelor,134055,934.8,2025-09-30 15:09:28.485122,Food,5.0,36.87,45.29
77,24,Female,Bachelor,121268,404.06,2025-09-11 15:09:28.485125,Books,4.4,12.64,48.75
78,61,Female,Bachelor,125441,1205.16,2026-01-03 15:09:28.485128,Clothing,1.4,3.36,11.61
79,78,Female,PhD,37347,3974.95,2025-10-29 15:09:28.485131,Clothing,3.8,13.4,44.06
80,25,Female,Master,36920,183.0,2026-01-04 15:09:28.485134,Food,2.4,45.61,16.41
81,64,Female,High School,51822,2918.21,2025-06-16 15:09:28.485137,Food,1.0,31.66,5.64
82,52,Female,PhD,66659,4977.23,2025-11-06 15:09:28.485139,Food,2.6,36.05,43.5
83,31,Other,PhD,60108,4279.92,2025-11-25 15:09:28.485142,Home,1.9,12.86,31.81
84,34,Other,Master,148955,2612.01,2025-10-07 15:09:28.485145,Home,4.3,35.97,8.24
85,53,Other,Master,109099,327.57,2025-11-02 15:09:28.485148,Home,2.3,1.41,21.49
86,67,Other,PhD,27967,4158.55,2026-01-31 15:09:28.485151,Electronics,4.3,18.77,14.36
87,57,Female,High School,130719,2998.9,2025-11-16 15:09:28.485154,Clothing,1.0,31.34,36.84
88,21,Male,PhD,31871,583.52,2025-09-21 15:09:28.485159,Books,2.2,7.3,22.67
89,19,Female,Master,114299,478.35,2025-06-17 15:09:28.485163,Electronics,2.0,41.15,49.46
90,79,Male,High School,97452,4549.04,2025-05-05 15:09:28.485165,Clothing,1.9,11.75,2.74
91,23,Other,Master,94270,3349.31,2025-07-24 15:09:28.485168,Clothing,1.3,32.61,17.75
92,71,Female,High School,53613,4148.14,2025-10-15 15:09:28.485171,Food,1.7,20.26,24.1
93,59,Other,Bachelor,48179,4396.1,2025-06-28 15:09:28.485174,Food,3.2,29.8,25.16
94,21,Female,Master,140465,2863.14,2025-10-19 15:09:28.485177,Electronics,2.2,5.37,15.8
95,71,Other,Master,72188,2592.06,2025-10-03 15:09:28.485180,Food,2.7,0.85,36.46
96,46,Male,PhD,75099,2157.83,2025-10-26 15:09:28.485183,Clothing,2.5,45.48,43.74
97,35,Male,Master,55262,1591.56,2025-09-09 15:09:28.485186,Food,4.5,13.48,46.94
98,43,Male,Master,446834,12934.377929119353,2025-08-01 15:09:28.485189,Home,4.6,40.98,40.25
99,61,Female,Bachelor,137407,3871.66,2025-06-29 15:09:28.485191,Food,3.0,49.97,42.53
100,51,Male,Master,38268,3013.6,2026-01-21 15:09:28.485194,Clothing,2.3,10.57,27.53
101,27,Female,Bachelor,97866,4463.69,2026-02-07 15:09:28.485197,Electronics,1.4,13.26,41.29
102,79,Male,Bachelor,470706,12484.971573090552,2025-07-27 15:09:28.485200,Books,4.8,33.14,15.18
103,53,Male,Bachelor,80545,3039.38,2025-09-04 15:09:28.485203,Food,1.2,48.27,19.92
104,31,Female,Bachelor,123483,3160.22,2025-06-16 15:09:28.485206,Clothing,2.2,45.79,15.85
105,48,Female,High School,112822,2962.57,2026-01-02 15:09:28.485209,Books,2.2,25.14,23.37
106,65,Male,PhD,92146,3516.14,2025-06-17 15:09:28.485211,Books,2.3,39.76,14.28
107,32,Female,High School,91966,1194.79,2025-10-14 15:09:28.485214,Home,1.7,6.79,48.08
108,25,Male,Master,59922,2566.7,2025-09-24 15:09:28.485217,Books,4.1,48.87,15.64
